"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"LATITUDE";"LONGITUDE";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"ABF-00008";"PT-EDP-EABF-00008-1";"Potência Normal Médio";"Disponível";"Albufeira";"Cerro da Lagoa";"37.0907";"-8.243906";"EDP - EDP Comercial";"Não";"Média Tensão";"Mennekes";"SOCKET";"7,4";"Disponível";"2026-01-30T23:09:57.732Z"
"ABF-00009";"PT-EDP-EABF-00009-1";"Potência Normal Médio";"Disponível";"Albufeira";"Vila Gale Cerro Alagoa ";"37.091404";"-8.242397";"EDP - EDP Comercial";"Não";"Média Tensão";"Mennekes";"SOCKET";"7,4";"Disponível";"2026-01-30T23:09:58.575Z"
"ABF-00011";"ABF-00011-01";"Potência Normal Médio";"Offline";"Albufeira";"Praia Maria Luísa";"37.091771";"-8.205087";"BLU - Blue Charge";"Não";"Baixa Tensão Especial";"Mennekes";"SOCKET";"22";"Offline";"2025-11-07T11:05:02.260Z"
"ABF-00011";"ABF-00011-02";"Potência Normal Médio";"Offline";"Albufeira";"Praia Maria Luísa";"37.091771";"-8.205087";"BLU - Blue Charge";"Não";"Baixa Tensão Especial";"Mennekes";"SOCKET";"22";"Offline";"2025-11-07T11:05:02.260Z"
"ABF-00012";"ABF-00012-01";"Potência Normal Médio";"Disponível";"Albufeira";"LUGAR VALVERDE - TAVAGUEIRA, GUIA";"37.129463";"-8.282082";"GLP - Galp";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Disponível";"2026-01-30T13:43:24.162Z"
"ABF-00012";"ABF-00012-02";"Potência Normal Médio";"Disponível";"Albufeira";"LUGAR VALVERDE - TAVAGUEIRA, GUIA";"37.129463";"-8.282082";"GLP - Galp";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Em uso";"2026-01-30T13:43:24.162Z"
"ABF-00013";"ABF-00013-01";"Potência Normal Médio";"Disponível";"Albufeira";"LUGAR VALVERDE - TAVAGUEIRA, GUIA";"37.129463";"-8.282082";"GLP - Galp";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Disponível";"2026-01-31T10:00:32.517Z"
"ABF-00013";"ABF-00013-02";"Potência Normal Médio";"Disponível";"Albufeira";"LUGAR VALVERDE - TAVAGUEIRA, GUIA";"37.129463";"-8.282082";"GLP - Galp";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Disponível";"2026-01-31T10:00:32.517Z"
"ABF-00024";"ABF-00024-01";"Alta Potência Rápido";"Offline";"Albufeira";"(M1285) TORRE DA MOSQUEIRA - EST. MONTECHORO";"37.11872";"-8.22682";"GLG - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Offline";"2026-01-31T12:37:44.073Z"
"ABF-00024";"ABF-00024-02";"Alta Potência Rápido";"Offline";"Albufeira";"(M1285) TORRE DA MOSQUEIRA - EST. MONTECHORO";"37.11872";"-8.22682";"GLG - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Offline";"2026-01-31T12:37:44.073Z"
"ABF-00024";"ABF-00024-03";"Alta Potência Rápido";"Offline";"Albufeira";"(M1285) TORRE DA MOSQUEIRA - EST. MONTECHORO";"37.11872";"-8.22682";"GLG - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"43";"Offline";"2026-01-31T12:37:44.073Z"
"ABF-00035";"ABF-00035-01";"Alta Potência Rápido";"Disponível";"Albufeira";"EN. 395 - Sitio Bemparece";"37.095831";"-8.255161";"REP - Repsol";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Disponível";"2026-01-31T15:40:35.954Z"
"ABF-00035";"ABF-00035-02";"Alta Potência Rápido";"Disponível";"Albufeira";"EN. 395 - Sitio Bemparece";"37.095831";"-8.255161";"REP - Repsol";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"60";"Disponível";"2026-01-31T15:40:35.954Z"
"ABF-00035";"ABF-00035-03";"Alta Potência Rápido";"Disponível";"Albufeira";"EN. 395 - Sitio Bemparece";"37.095831";"-8.255161";"REP - Repsol";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"43";"Disponível";"2026-01-31T15:40:35.954Z"
